paper_title,paper_doi,journal_title,publication_year,reference_kind,species_latin_names,project_accessions,species_count,project_count
"The late arrival of domestic cats in China via the Silk Road after 3,500 years of human-leopard cat commensalism",10.1016/j.xgen.2025.101099,Cell Genomics,2025,primary_paper,Felis catus,PRJNA1178732,1,1
Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,iScience,2025,primary_paper,Capra hircus,PRJEB90261,1,1
Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,Genome Biology and Evolution,2025,primary_paper,Capra hircus,PRJEB90141,1,1
"Ancient genomes reveal the genetic history of domestic goats on the Qinghai-Xizang Plateau approximately 3,600 years ago",10.24272/j.issn.2095-8137.2025.080,Zoological Research,2025,primary_paper,Capra hircus,PRJNA1328209,1,1
The genomic natural history of the aurochs,10.1038/s41586-024-08112-6,Nature,2024,primary_paper,Bos taurus,PRJEB75467,1,1
The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,Science,2024,primary_paper,Felis catus,PRJEB81815,1,1
Ancient Sheep Genomes Reveal Four Millennia of North European Short-Tailed Sheep in the Baltic Sea Region,10.1093/gbe/evae114,Genome Biology and Evolution,2024,primary_paper,Ovis aries,PRJEB59481,1,1
Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,Scientific Reports,2024,primary_paper,Rangifer tarandus,PRJEB60484,1,1
The origins and spread of domestic horses from the Western Eurasian steppes,10.1038/s41586-021-04018-9,Nature,2021,primary_paper,Equus caballus,PRJEB44430,1,1
Evidence for early dispersal of domestic sheep into Central Asia,10.1038/s41562-021-01083-y,Nature Human Behaviour,2021,primary_paper,Ovis aries,PRJEB41594,1,1
Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,Communications Biology,2021,primary_paper,Ovis aries,PRJEB36540,1,1
Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,Cell,2019,primary_paper,Equus caballus,PRJEB31613,1,1
Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,Proceedings of the National Academy of Sciences,2019,primary_paper,Sus scrofa domesticus,PRJEB30282,1,1
"Ancient cattle genomics, origins, and rapid turnover in the Fertile Crescent",10.1126/science.aav1002,Science,2019,primary_paper,Bos taurus,PRJEB31621,1,1
Ancient genomes revisit the ancestry of domestic and Przewalski's horses,10.1126/science.aao3297,Science,2018,primary_paper,Equus caballus,PRJEB22390,1,1
Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,Molecular Ecology Resources,2017,primary_paper,Camelus dromedarius,KU605068-KU605080;SRP073444,1,2
Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,Science,2017,primary_paper,Equus caballus,PRJEB19970,1,1
Ancient European dog genomes reveal continuity since the Early Neolithic,10.1038/ncomms16082,Nature Communications,2017,primary_paper,Canis lupus familiaris,KX379528-KX379529;SRS1407451;SRS1407453,1,3
