species_latin_name,species_common_name,project_accession,stable_sample_id,site_label,paper_doi,supplementary_source,inclusion_note
Bos taurus,cattle,PRJEB31621,bos_taurus:sample:prjeb31621,site detail not yet extracted from tracked source support,10.1126/science.aav1002,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Bos taurus,cattle,PRJEB75467,bos_taurus:sample:prjeb75467,site detail not yet extracted from tracked source support,10.1038/s41586-024-08112-6,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Camelus dromedarius,dromedary camel,KU605068-KU605080,camelus_dromedarius:sample:ku605068-ku605080,site detail not yet extracted from tracked source support,10.1111/1755-0998.12551,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Canis lupus familiaris,dog,KX379528-KX379529,canis_lupus_familiaris:sample:kx379528-kx379529,site detail not yet extracted from tracked source support,10.1038/ncomms16082,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Canis lupus familiaris,dog,SRS1407453,canis_lupus_familiaris:sample:srs1407453,site detail not yet extracted from tracked source support,10.1038/ncomms16082,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Capra hircus,goat,PRJEB90141,capra_hircus:sample:prjeb90141,site detail not yet extracted from tracked source support,10.1093/gbe/evaf181,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Capra hircus,goat,PRJEB90261,capra_hircus:sample:prjeb90261,site detail not yet extracted from tracked source support,10.1016/j.isci.2025.113771,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus asinus,donkey,PRJEB43564,equus_asinus:sample:prjeb43564,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus asinus,donkey,PRJEB50952,equus_asinus:sample:prjeb50952,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus asinus,donkey,PRJEB52590,equus_asinus:sample:prjeb52590,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus asinus,donkey,PRJEB55549,equus_asinus:sample:prjeb55549,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB10854,equus_caballus:sample:prjeb10854,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB19970,equus_caballus:sample:prjeb19970,site detail not yet extracted from tracked source support,10.1126/science.aam5298,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB31613,equus_caballus:sample:prjeb31613,site detail not yet extracted from tracked source support,10.1016/j.cell.2019.03.049,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
